Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Saved By The Bell	Bee Gees		Bee Gees						Pop\Disco\	5871551	186			9		1969	07/Jun/2023 7:41 PM	22/Jul/2016 12:51 AM	247	44100		MPEG audio file			1	18/Sep/2017 9:22 PM	1	08/Jul/2017 3:38 PM		D:\MP3\B\Bee Gees - Saved By The Bell.mp3
If I Can't Have You	Bee Gees		Bee Gees						Pop\	4094767	239					1976	07/Jun/2023 7:41 PM	01/Jul/2012 6:00 AM	128	44100		MPEG audio file					1	20/Apr/2013 7:15 PM		D:\MP3\B\Bee Gees - If I Can't Have You.mp3
You Want This	Janet Jackson	Terry Lewis / Janet Jackson / James Harris	Janet						R&B\	12307522	305			497		1993	07/Jun/2023 8:45 PM	23/Apr/2023 1:45 AM	320	44100		MPEG audio file			1					D:\MP3\J\Janet Jackson - You Want This.mp3
Any Time, Any Place	Janet Jackson		Janet						R&B\	17278609	428			274		1993	07/Jun/2023 8:45 PM	23/Apr/2023 1:45 AM	320	44100		MPEG audio file								D:\MP3\J\Janet Jackson - Any Time, Any Place.mp3
Whoops Now	Janet Jackson		Janet						Pop\	9000287	221	1	2	2		1995	07/Jun/2023 8:45 PM	23/Jul/2016 3:07 PM	320	44100		MPEG audio file					1	05/Sep/2016 12:38 AM		D:\MP3\J\Janet Jackson - Whoops Now.mp3
Again	Janet Jackson		Janet						R&B\	9232230	227			138		1993	07/Jun/2023 8:45 PM	23/Apr/2023 1:45 AM	320	44100		MPEG audio file			1					D:\MP3\J\Janet Jackson - Again.mp3
If	Janet Jackson		Janet						Vocal\R&B\	4598736	279					1993	07/Jun/2023 8:45 PM	01/Jul/2012 6:03 AM	128	44100		MPEG audio file					1	24/Nov/2017 5:10 PM		D:\MP3\J\Janet Jackson - If.mp3
Because Of Love	Janet Jackson		Janet						Pop\	4307578	260	2	2	39		1993	07/Jun/2023 8:45 PM	23/Jul/2016 3:07 PM	128	44100		MPEG audio file					1	17/Jul/2018 11:28 AM		D:\MP3\J\Janet Jackson - Because Of Love.mp3
Workaholic	2 Unlimited	Phil Wilde/R.L. Slijngaard	Get Ready!						Electronic\	10238362	252			7		1992	07/Jun/2023 9:14 PM	26/Jun/2016 4:51 PM	320	44100		MPEG audio file			1					D:\MP3\U\2 Unlimited - Workaholic.mp3
Contrast	2 Unlimited		Get Ready!						Eurodance\	3594633	220					1992	24/Sep/2023 4:57 PM	14/Dec/2019 12:12 AM	128	44100		MPEG audio file								D:\MP3\U\2 Unlimited - Contrast.mp3
Magic Friend	2 Unlimited		Get Ready!	Upgraded\					Eurodance\	6395878	316			1		1992	24/Sep/2023 4:57 PM	07/Apr/2014 6:08 PM	160	44100		MPEG audio file			1	08/May/2014 8:34 PM				D:\MP3\U\2 Unlimited - Magic Friend.mp3
Delight	2 Unlimited		Get Ready!						Eurodance\	3674461	224					1992	24/Sep/2023 4:57 PM	14/Dec/2019 12:12 AM	128	44100		MPEG audio file								D:\MP3\U\2 Unlimited - Delight.mp3
Rougher Than The Average	2 Unlimited		Get Ready!						Eurodance\	4074482	249					1992	24/Sep/2023 4:57 PM	14/Dec/2019 12:12 AM	128	44100		MPEG audio file								D:\MP3\U\2 Unlimited - Rougher Than The Average.mp3
Twilight Zone	2 Unlimited		Get Ready!	Searched\Found\Upgraded\Dupe					Favorite\Eurodance\Euro House\	5488130	340			2		1992	26/Aug/2023 3:01 PM	06/Dec/2021 1:53 AM	128	44100		MPEG audio file			12		21			D:\MP3\Favorites\2 Unlimited - Twilight Zone (1).mp3
Twilight Zone	2 Unlimited		Get Ready!	Searched\Found\Upgraded\					Favorite\Eurodance\Euro House\	10071732	250			15		1992	10/Jun/2023 2:01 AM	20/Jul/2016 10:48 PM	320	44100		MPEG audio file			12	02/Feb/2018 1:59 PM	21	07/May/2021 9:25 PM		D:\MP3\Favorites\2 Unlimited - Twilight Zone.mp3
The Most Beautiful Girl In The World	Prince	Prince	Prince						Funk\Slow\Rock\R&B\	4516722	276	1	1	7		1994	07/Jun/2023 9:03 PM	18/Apr/2021 9:56 PM	128	44100		MPEG audio file								D:\MP3\P\Prince - The Most Beautiful Girl In The World.mp3
I Wanna Be Your Lover	Prince		Prince						Pop\R&B\	4528802	180			8		1979	07/Jun/2023 9:03 PM	01/Jul/2012 6:07 AM	192	44100		MPEG audio file			2	16/Aug/2018 3:29 PM				D:\MP3\P\Prince - I Wanna Be Your Lover.mp3
Kiss	Prince		Prince	Searched\Found\					Favorite\Pop\Rock\Soundtrack\R&B\Funk\	9270712	226			11		1986	07/Jun/2023 8:35 PM	01/Jul/2012 6:02 AM	320	44100		MPEG audio file			11	08/Jul/2018 1:50 AM	11	01/Dec/2019 7:33 PM		D:\MP3\Favorites\Prince - Kiss.mp3
I Wanna Be Your Lover	Prince	Prince	Prince		PMEDIA				Pop\R&B\	14122261	347	1		82		1979	07/Jun/2023 9:03 PM	23/Apr/2023 12:57 AM	320	44100		MPEG audio file			2					D:\MP3\P\Prince - I Wanna Be Your Lover (1).mp3
When Doves Cry	Prince		Prince	Searched\Found\	PMEDIA				Favorite\Novela\Pop\Funk\	9345919	228	1		516		1984	07/Jun/2023 8:35 PM	23/Apr/2023 12:57 AM	320	44100		MPEG audio file			28		12			D:\MP3\Favorites\Prince - When Doves Cry (1).mp3
When Doves Cry	Prince		Prince	Searched\Found\					iPhone\Favorite\Novela\Pop\Hard House\Funk\	14378069	354					1984	07/Jun/2023 8:35 PM	01/Jul/2012 6:02 AM	320	44100		MPEG audio file			28	10/Dec/2022 7:14 PM	12	01/Apr/2022 7:03 PM		D:\MP3\Favorites\Prince - When Doves Cry.mp3
Raspberry Beret (Extended)	Prince & The Revolution		Prince	Searched\					iPhone\Favorite\Pop\	8889858	433					1985	07/Jun/2023 8:35 PM	01/Jul/2012 6:02 AM	160	44100		MPEG audio file			19	20/Jul/2022 9:20 PM	15	06/May/2023 7:47 PM		D:\MP3\Favorites\Prince & The Revolution - Raspberry Beret (Extended).mp3
Choro	Fábio Jr.		Fábio Jr.	Searched\Found\					Brasil\Favorite\Easy\Novela\MPB\	3907457	237	2	3	2	14	1984	07/Jun/2023 8:38 PM	18/Oct/2014 6:17 PM	128	44100		MPEG audio file			10	18/May/2023 6:06 PM	6	18/May/2023 5:36 PM		D:\MP3\Favorites_Brasil\Fábio Jr. - Choro.mp3
Dona Do Meu Coração	Fábio Jr.		Fábio Jr.	Searched\Found\					Brasil\Ballad\	4241710	260					1994	07/Jun/2023 7:50 PM	20/Apr/2014 3:53 AM	128	44100		MPEG audio file								D:\MP3\Brasil\F\Fábio Jr. - Dona Do Meu Coração.mp3
Alma Gêmea	Fábio Jr.		Fabio Jr.						Brasil\Favorite\Novela\	11707576	289	1		1		1994	21/Sep/2023 1:16 AM	20/Sep/2023 10:51 PM	320	44100		MPEG audio file			24		13			D:\MP3\Favorites_Brasil\Fábio Jr. - Alma Gêmea (1).mp3
20 E Poucos Anos	Fábio Jr.		Fábio Jr.	Searched\Found\					Brasil\iPhone\Favorite\Novela\MPB\	3905150	237	1	1	4	14	1979	07/Jun/2023 8:38 PM	19/Oct/2014 4:31 AM	128	44100		MPEG audio file			70	05/Aug/2023 6:00 PM	7	28/Mar/2023 8:21 PM		D:\MP3\Favorites_Brasil\Fábio Jr. - 20 E Poucos Anos.mp3
Alma Gêmea	Fábio Jr.	Fabio Junior¹A?	Fábio Jr.	Searched\Found\					Brasil\iPhone\Favorite\Novela\Ballad\	6918144	285			5		1994	07/Jun/2023 8:38 PM	18/Oct/2014 6:56 PM	192	44100		MPEG audio file			31	15/Dec/2022 9:50 PM	13	06/Apr/2023 9:13 PM		D:\MP3\Favorites_Brasil\Fábio Jr. - Alma Gêmea.mp3
Pareço Um Menino	Fábio Jr.		Fábio Jr.						Brasil\Novela\	4375176	268			8		1994	07/Jun/2023 7:50 PM	19/Oct/2014 4:31 AM	128	44100		MPEG audio file								D:\MP3\Brasil\F\Fábio Jr. - Pareço Um Menino.mp3
Abandono	Fábio Jr.	Ivor Lancelotti	Fábio Jr.	Searched\Found\					Brasil\Favorite\Vocal\	2996534	206	1	1	11	20	1995	07/Jun/2023 8:38 PM	07/Apr/2014 5:57 PM	112	44100		MPEG audio file								D:\MP3\Favorites_Brasil\Fábio Jr. - Abandono.mp3
Seres Humanos	Fábio Jr.		Fábio Jr.						Brasil\Novela\MPB\	3279862	196	3	3	6	14	1982	07/Jun/2023 7:50 PM	18/Oct/2014 6:11 PM	128	44100		MPEG audio file								D:\MP3\Brasil\F\Fábio Jr. - Seres Humanos.mp3
Quero Colo	Fábio Jr.		Fábio Jr.						Brasil\Novela\	2913335	175	3	3	11	14	1979	07/Jun/2023 7:50 PM	18/Oct/2014 5:58 PM	128	44100		MPEG audio file								D:\MP3\Brasil\F\Fábio Jr. - Quero Colo.mp3
Tia Josefina	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\					Brasil\Favorite\Infantil\Ballad\	2341918	142	1	1	9	12	1984	07/Jun/2023 7:19 PM	20/Apr/2014 3:53 AM	128	44100		MPEG audio file			1	24/Jan/2018 10:08 PM				D:\MP3\Favorites_Brasil\A Turma Do Balão Mágico - Tia Josefina.mp3
Bombom (Maria Isabel)	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\Erro-chiados, ruidos\					Brasil\Favorite\MPB\	3183437	195	1	1	10	15	1984	07/Jun/2023 7:10 PM	30/May/2014 10:17 PM	128	44100		MPEG audio file			1	20/May/2023 2:07 PM	2	16/May/2023 7:33 PM		D:\MP3\Favorites_Brasil\A Turma Do Balão Mágico - Bombom (Maria Isabel).mp3
Barato Bom É Da Barata	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\					Brasil\Story\	3403300	207	1	1	1	12	1985	07/Jun/2023 7:55 PM	30/May/2015 2:52 AM	128	44100		MPEG audio file					1	20/Oct/2015 11:12 PM		D:\MP3\Brasil\T\A Turma Do Balão Mágico - Barato Bom É Da Barata.mp3
Superfantástico	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\					Brasil\Favorite\Pop\	3954502	193			1	15	1983	07/Jun/2023 8:38 PM	13/Dec/2021 9:50 PM	160	44100		MPEG audio file			4	26/May/2022 12:08 AM	8	25/Feb/2023 6:10 PM		D:\MP3\Favorites_Brasil\A Turma Do Balão Mágico - Superfantástico.mp3
Amigos Do Peito (Somos Amigos)	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\					Brasil\Favorite\Infantil\Pop Rock\	4550582	225			2	15	1984	07/Jun/2023 7:10 PM	20/Nov/2021 3:05 AM	160	44100		MPEG audio file			1					D:\MP3\Favorites_Brasil\A Turma Do Balão Mágico - Amigos Do Peito (Somos Amigos).mp3
Ursinho Pimpão	A Turma Do Balão Mágico		A Turma Do Balão Mágico						Brasil\Infantil\	5062265	206			7		1983	07/Jun/2023 7:55 PM	21/Apr/2014 6:51 PM	192	44100		MPEG audio file			1	31/May/2014 12:31 AM				D:\MP3\Brasil\T\A Turma Do Balão Mágico - Ursinho Pimpão.mp3
Ai Meu Nariz	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched					Brasil\	3024549	182			9		1983	07/Jun/2023 7:55 PM	07/Apr/2014 5:59 PM	128	44100		MPEG audio file								D:\MP3\Brasil\T\A Turma Do Balão Mágico - Ai Meu Nariz.mp3
Dia De Festa / Atirei Um Pau No Gato	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\					Brasil\Educational\	2747924	168			12	15	2003	07/Jun/2023 7:07 PM	17/Jan/2022 5:51 PM	128	44100		MPEG audio file								D:\MP3\Brasil\T\A Turma Do Balão Mágico - Dia De Festa, Atirei Um Pau No Gato.mp3
Chega Mais Um Pouco	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\					Brasil\Story\	5010787	205			13		1983	07/Jun/2023 7:55 PM	07/Apr/2014 5:59 PM	192	44100		MPEG audio file			1	31/May/2014 12:35 AM				D:\MP3\Brasil\T\A Turma Do Balão Mágico - Chega Mais Um Pouco.mp3
Coração De Papelão	A Turma Do Balão Mágico		A Turma Do Balão Mágico	Searched\Found\					Brasil\Favorite\Educational\	3595127	221	1	1	15	15	2000	07/Jun/2023 7:10 PM	27/Jun/2015 12:25 PM	128	44100		MPEG audio file			14	28/Aug/2018 10:25 AM	6	18/Apr/2019 8:29 PM		D:\MP3\Favorites_Brasil\A Turma Do Balão Mágico - Coração De Papelão.mp3
Ready To Take A Chance Again	Barry Manilow		Greatest Hits	Searched\Found\Attached\master\Country=US\Label=Arista\Format=Vinyl\GreatestHits					Favorite\Easy\Soundtrack\Rock\Ballad\	7444091	183					1978	20/Sep/2023 10:21 PM	01/May/2022 9:12 AM	320	44100		MPEG audio file			4	24/Sep/2023 4:59 PM				D:\MP3\Favorites\Barry Manilow - Ready To Take A Chance Again.mp3
Copacabana (Remix)	Barry Manilow		Greatest Hits	Searched\GreatestHits					iPhone\Favorite\Pop\	4881189	240			16	18	1978	20/Sep/2023 10:21 PM	01/Jul/2012 6:00 AM	160	44100		MPEG audio file			78	14/Sep/2023 8:13 PM	29	30/May/2023 8:07 PM		D:\MP3\Favorites\Barry Manilow - Copacabana (Remix).mp3
Can't Smile Without You	Barry Manilow		Greatest Hits Volume I	GreatestHits					Pop\	3939861	193	1	1	27		1978	09/Oct/2023 9:04 PM	23/Jul/2016 3:47 AM	160	44100		MPEG audio file								D:\MP3\B\Barry Manilow - Can't Smile Without You.mp3
Weekend In New England	Barry Manilow	Randy Edelman	Greatest Hits Volume I	Searched\Found\GreatestHits	PMEDIA				Ballad\	9155903	227	1		28		1976	09/Oct/2023 9:04 PM	23/Apr/2023 12:57 AM	320	44100		MPEG audio file			1					D:\MP3\B\Barry Manilow - Weekend In New England.mp3
Looks Like We Made It	Barry Manilow		Greatest Hits	GreatestHits					Pop\	4353654	214	1	1	37		1976	20/Sep/2023 10:21 PM	23/Jul/2016 3:47 AM	160	44100		MPEG audio file			1	02/May/2017 12:40 PM				D:\MP3\B\Barry Manilow - Looks Like We Made It.mp3
Ships	Barry Manilow	Ian Hunter	Greatest Hits	GreatestHits	PMEDIA				Novela\Pop\OneHitWonders\	10022104	248	1	1	38		1979	20/Sep/2023 10:21 PM	23/Apr/2023 12:57 AM	320	44100		MPEG audio file			1					D:\MP3\B\Barry Manilow - Ships (1).mp3
I Made It Through The Rain	Barry Manilow		Greatest Hits	GreatestHits					Pop\	5332066	263			89		1981	20/Sep/2023 10:21 PM	17/Jul/2016 5:52 PM	160	44100		MPEG audio file					1	31/Jul/2016 3:04 AM		D:\MP3\B\Barry Manilow - I Made It Through The Rain.mp3
Somewhere In The Night	Barry Manilow		Greatest Hits	GreatestHits					Pop\	4217152	207			93		1978	20/Sep/2023 10:21 PM	17/Jul/2016 5:52 PM	160	44100		MPEG audio file			1		1	11/Sep/2016 9:14 PM		D:\MP3\B\Barry Manilow - Somewhere In The Night.mp3
Tryin' To Get The Feeling Again	Barry Manilow		Greatest Hits	GreatestHits					Pop\	4691030	231			94		1976	20/Sep/2023 10:21 PM	17/Jul/2016 5:51 PM	160	44100		MPEG audio file					1	31/Jul/2016 2:48 AM		D:\MP3\B\Barry Manilow - Tryin' To Get The Feeling Again.mp3
Ships	Barry Manilow		Greatest Hits	GreatestHits					Novela\OneHitWonders\	4845210	238	1	1	98		1979	20/Sep/2023 10:21 PM	20/Jul/2016 11:44 PM	160	44100		MPEG audio file			1	21/Sep/2016 10:12 AM				D:\MP3\B\Barry Manilow - Ships.mp3
Rita Lee	Os Mutantes	Arnaldo Baptista/Rita Lee/Sérgio Dias Baptista	Mutantes	Searched\Found\					Brasil\Psychedelic Rock\	3891220	189			8		1969	07/Jun/2023 7:29 PM	31/Jul/2016 10:31 PM	160	44100		MPEG audio file								D:\MP3\Brasil\M\Os Mutantes - Rita Lee.mp3
Dom Qixote	Os Mutantes		Mutantes						Brasil\MPB\	4818526	234			1		1969	07/Jun/2023 6:59 PM	31/Jul/2016 10:31 PM	160	44100		MPEG audio file								D:\MP3\Brasil\M\Os Mutantes - Dom Qixote.mp3
Fuga Nº2 Dos Mutantes	Os Mutantes		Mutantes	Searched					Brasil\	4549487	221			6		1969	07/Jun/2023 6:59 PM	31/Jul/2016 10:31 PM	160	44100		MPEG audio file								D:\MP3\Brasil\M\Os Mutantes - Fuga Nº2 Dos Mutantes.mp3
Oceano	Djavan		Djavan	Searched\Found\					Brasil\Favorite\Easy\Novela\Pop\MPB\	11886597	296	1		2		1989	07/Jun/2023 8:38 PM	25/Apr/2021 12:06 AM	320	44100		MPEG audio file			13					D:\MP3\Favorites_Brasil\Djavan - Oceano.mp3
Cigano	Djavan		Djavan						Brasil\Novela\	5849709	287	1	1	5	9	1989	07/Jun/2023 7:49 PM	07/Apr/2014 5:57 PM	160	44100		MPEG audio file								D:\MP3\Brasil\D\Djavan - Cigano.mp3
Corisco	Djavan		Djavan	Searched\Found\					Brasil\MPB\	4545156	221	1	1	3	9	1989	07/Jun/2023 7:49 PM	07/Oct/2013 11:00 PM	160	44100		MPEG audio file								D:\MP3\Brasil\D\Djavan - Corisco.mp3
Curumim	Djavan		Djavan	Searched\Found\					Brasil\MPB\	6685629	328	1	1	1	9	1989	07/Jun/2023 7:49 PM	07/Oct/2013 11:00 PM	160	44100		MPEG audio file								D:\MP3\Brasil\D\Djavan - Curumim.mp3
Mal De Mim	Djavan		Djavan						Brasil\Novela\	4759044	193			1		1989	07/Jun/2023 7:49 PM	18/Oct/2014 6:29 PM	192	44100		MPEG audio file								D:\MP3\Brasil\D\Djavan - Mal De Mim.mp3
Oceano (Ao Vivo)	Djavan		Djavan						Brasil\Easy\Novela\MPB\Live\	7464595	183			3		1989	07/Jun/2023 7:49 PM	02/Jan/2022 1:43 AM	320	44100		MPEG audio file								D:\MP3\Brasil\D\Djavan - Oceano (Ao Vivo).mp3
Vida Real	Djavan		Djavan						Brasil\Novela\	5237927	256	1	1	4	9	1989	07/Jun/2023 7:49 PM	07/Oct/2013 11:00 PM	160	44100		MPEG audio file			1					D:\MP3\Brasil\D\Djavan - Vida Real.mp3
Avião	Djavan		Djavan	Searched\Found\					Brasil\MPB\	4616234	225	1	1	6	9	1989	07/Jun/2023 7:49 PM	07/Oct/2013 11:00 PM	160	44100		MPEG audio file								D:\MP3\Brasil\D\Djavan - Avião.mp3
Você Bem Sabe	Djavan		Djavan	Searched\Found\					Brasil\MPB\	4023764	195	1	1	7	9	1989	07/Jun/2023 7:49 PM	07/Oct/2013 11:00 PM	160	44100		MPEG audio file					1	15/Oct/2013 6:50 PM		D:\MP3\Brasil\D\Djavan - Você Bem Sabe.mp3
Mil Vezes	Djavan		Djavan	Searched\Found\					Brasil\MPB\	4621960	225	1	1	9	9	1989	07/Jun/2023 7:49 PM	07/Oct/2013 11:00 PM	160	44100		MPEG audio file			2	28/Jun/2016 7:59 PM	2	02/Jan/2016 9:03 PM		D:\MP3\Brasil\D\Djavan - Mil Vezes.mp3
Oceano (Ao Vivo)	Djavan		Djavan						Brasil\Easy\Novela\MPB\Live\	9741524	240			11		1989	07/Jun/2023 7:49 PM	02/Jan/2022 1:43 AM	320	44100		MPEG audio file								D:\MP3\Brasil\D\Djavan - Oceano (Ao Vivo) (1).mp3
É Minha Vida	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Sertanejo\	3999935	245	1	1	1	16	1997	07/Jun/2023 7:07 PM	25/Aug/2016 10:02 PM	128	44100		MPEG audio file			1	09/Nov/2016 3:33 PM				D:\MP3\Brasil\Z\Zezé Di Camargo E Luciano - É Minha Vida.mp3
Felicidade Que Saudade De Você	Zezé Di Camargo & Luciano	César Augusto/Paulo Henrique	Zezé Di Camargo & Luciano						Brasil\Novela\Sertanejo\	8345214	281	1	1	3	16	1996	24/Sep/2023 12:26 AM	18/Oct/2014 6:42 PM	234	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Felicidade Que Saudade De Você.mp3
Quem Sou Eu Sem Ela	Zezé Di Camargo & Luciano	Zeze Di Camargo	Zezé Di Camargo & Luciano						Brasil\Sertanejo\	4186909	204	1	1	9	12	1991	24/Sep/2023 12:26 AM	20/Apr/2014 5:16 AM	160	44100		MPEG audio file			1	24/Apr/2016 4:45 PM				D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Quem Sou Eu Sem Ela.mp3
Pra Não Pensar Em Você	Zezé Di Camargo & Luciano		Zeze Di Camargo & Luciano						Brasil\Sertanejo\	4947782	302	1	1	1	17	1996	07/Jun/2023 7:56 PM	25/Aug/2016 10:02 PM	128	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo E Luciano - Pra Não Pensar Em Você.mp3
Coração Está Em Pedaços	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Sertanejo\	3839970	233	1	1	1	12	1992	07/Jun/2023 7:56 PM	25/Aug/2016 10:02 PM	128	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo E Luciano - Coração Está Em Pedaços.mp3
Foi A Primeira Vez	Zezé Di Camargo & Luciano	Piska	Zezé Di Camargo & Luciano						Brasil\Novela\Sertanejo\	4150437	255	1	1	1	13	1994	07/Jun/2023 7:56 PM	22/Oct/2014 8:51 PM	128	44100		MPEG audio file			1	08/Mar/2016 12:43 PM				D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Foi A Primeira Vez.mp3
Vivendo Por Viver	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Sertanejo\	4647882	285			1		1997	07/Jun/2023 7:56 PM	25/Aug/2016 10:02 PM	128	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo E Luciano - Vivendo Por Viver.mp3
Tristeza Do Jeca	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Novela\	3718879	224			2		2003	07/Jun/2023 7:56 PM	18/Oct/2014 6:53 PM	128	44100		MPEG audio file					1	01/Sep/2015 9:23 PM		D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Tristeza Do Jeca.mp3
Saudade Bandida	Zezé Di Camargo & Luciano	Zezé Di Camargo	Zezé Di Camargo & Luciano						Brasil\Sertanejo\	5330829	260			4		1993	07/Jun/2023 7:56 PM	07/Apr/2014 5:59 PM	160	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Saudade Bandida.mp3
Eu Te Amo (And I Love Her)	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Novela\Sertanejo\	4315324	175			8		1989	07/Jun/2023 7:56 PM	18/Oct/2014 6:32 PM	192	44100		MPEG audio file			1	24/Apr/2016 4:42 PM	1	08/Oct/2015 11:24 PM		D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Eu Te Amo (And I Love Her).mp3
Sem Medo De Ser Feliz	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Novela\Sertanejo\	4499285	274	1	1	8	14	1995	08/Jun/2023 11:37 PM	18/Oct/2014 6:39 PM	128	44100		MPEG audio file			1	30/Jun/2015 9:32 PM				D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Sem Medo De Ser Feliz.mp3
Preciso Ser Amado	Zezé Di Camargo & Luciano	Cesar Augusto/Piska	Zezé Di Camargo & Luciano						Brasil\Sertanejo\	6750485	331			14		2000	07/Jun/2023 7:56 PM	07/Apr/2014 5:59 PM	160	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Preciso Ser Amado.mp3
Fera Mansa	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Novela\	3712185	224			15		2005	07/Jun/2023 7:56 PM	18/Oct/2014 6:57 PM	128	44100		MPEG audio file			1	24/Apr/2016 4:49 PM				D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Fera Mansa.mp3
Fui Eu	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Blues\	4278144	260					2005	07/Jun/2023 7:56 PM	13/Apr/2013 6:53 PM	128	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Fui Eu.mp3
Pare	Zezé Di Camargo & Luciano		Zezé Di Camargo & Luciano						Brasil\Sertanejo\	4088680	248					1998	07/Jun/2023 7:56 PM	13/Apr/2013 6:53 PM	128	44100		MPEG audio file								D:\MP3\Brasil\Z\Zezé Di Camargo & Luciano - Pare.mp3
